Line	Date	Time	SpectrumFile	LibraryFile	Water vapor H2O	Unit	 Compensation	 Residual	Carbon dioxide CO2	Unit	 Compensation	 Residual	Methane CH4	Unit	 Compensation	 Residual	Nitrous oxide N2O	Unit	 Compensation	 Residual	 Status
0	2019-06-03	10:30:42		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.38	vol-%	wet	0.0041	452.04	ppm	dry	0.0023	  1.81	ppm	dry	0.0022	  0.24	ppm	dry	0.0022	OK
0	2019-06-03	10:30:48		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.38	vol-%	wet	0.0039	454.39	ppm	dry	0.0026	  1.90	ppm	dry	0.0023	  0.24	ppm	dry	0.0023	OK
0	2019-06-03	10:30:54		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.38	vol-%	wet	0.0042	455.35	ppm	dry	0.0026	  1.82	ppm	dry	0.0021	  0.24	ppm	dry	0.0023	OK
0	2019-06-03	10:31:00		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.38	vol-%	wet	0.0041	456.56	ppm	dry	0.0026	  1.84	ppm	dry	0.0022	  0.24	ppm	dry	0.0023	OK
0	2019-06-03	10:31:06		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.39	vol-%	wet	0.0040	459.26	ppm	dry	0.0026	  1.86	ppm	dry	0.0021	  0.23	ppm	dry	0.0023	OK
0	2019-06-03	10:31:12		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.39	vol-%	wet	0.0040	460.63	ppm	dry	0.0025	  1.84	ppm	dry	0.0022	  0.24	ppm	dry	0.0023	OK
0	2019-06-03	10:31:18		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.40	vol-%	wet	0.0040	461.10	ppm	dry	0.0025	  1.89	ppm	dry	0.0022	  0.25	ppm	dry	0.0024	OK
0	2019-06-03	10:31:24		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.39	vol-%	wet	0.0039	462.16	ppm	dry	0.0026	  1.83	ppm	dry	0.0021	  0.23	ppm	dry	0.0024	OK
0	2019-06-03	10:31:30		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.40	vol-%	wet	0.0042	464.51	ppm	dry	0.0026	  1.93	ppm	dry	0.0021	  0.23	ppm	dry	0.0023	OK
0	2019-06-03	10:31:36		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.40	vol-%	wet	0.0039	467.15	ppm	dry	0.0026	  1.84	ppm	dry	0.0022	  0.24	ppm	dry	0.0022	OK
0	2019-06-03	10:31:42		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.41	vol-%	wet	0.0040	467.47	ppm	dry	0.0025	  1.87	ppm	dry	0.0021	  0.23	ppm	dry	0.0023	OK
0	2019-06-03	10:31:48		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.40	vol-%	wet	0.0040	468.43	ppm	dry	0.0025	  1.88	ppm	dry	0.0024	  0.23	ppm	dry	0.0024	OK
0	2019-06-03	10:31:54		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.40	vol-%	wet	0.0041	472.83	ppm	dry	0.0026	  1.95	ppm	dry	0.0022	  0.24	ppm	dry	0.0022	OK
0	2019-06-03	10:32:00		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.40	vol-%	wet	0.0041	474.19	ppm	dry	0.0026	  1.87	ppm	dry	0.0021	  0.25	ppm	dry	0.0024	OK
0	2019-06-03	10:32:06		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.40	vol-%	wet	0.0041	473.05	ppm	dry	0.0026	  1.88	ppm	dry	0.0020	  0.24	ppm	dry	0.0024	OK
0	2019-06-03	10:32:12		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.41	vol-%	wet	0.0043	476.58	ppm	dry	0.0026	  1.82	ppm	dry	0.0021	  0.24	ppm	dry	0.0024	OK
0	2019-06-03	10:32:18		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.40	vol-%	wet	0.0040	476.01	ppm	dry	0.0026	  1.90	ppm	dry	0.0023	  0.23	ppm	dry	0.0024	OK
0	2019-06-03	10:32:24		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.40	vol-%	wet	0.0042	479.01	ppm	dry	0.0026	  1.93	ppm	dry	0.0021	  0.23	ppm	dry	0.0023	OK
0	2019-06-03	10:32:30		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.41	vol-%	wet	0.0040	478.87	ppm	dry	0.0026	  1.89	ppm	dry	0.0020	  0.24	ppm	dry	0.0023	OK
0	2019-06-03	10:32:36		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.41	vol-%	wet	0.0041	480.43	ppm	dry	0.0026	  1.93	ppm	dry	0.0022	  0.25	ppm	dry	0.0023	OK
0	2019-06-03	10:32:42		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.41	vol-%	wet	0.0042	481.89	ppm	dry	0.0027	  1.83	ppm	dry	0.0022	  0.22	ppm	dry	0.0023	OK
0	2019-06-03	10:32:48		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.42	vol-%	wet	0.0042	482.26	ppm	dry	0.0026	  1.78	ppm	dry	0.0019	  0.23	ppm	dry	0.0023	OK
0	2019-06-03	10:32:54		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.42	vol-%	wet	0.0039	487.73	ppm	dry	0.0027	  1.87	ppm	dry	0.0020	  0.24	ppm	dry	0.0023	OK
0	2019-06-03	10:33:00		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.42	vol-%	wet	0.0040	485.98	ppm	dry	0.0026	  1.82	ppm	dry	0.0021	  0.24	ppm	dry	0.0023	OK
0	2019-06-03	10:33:06		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.42	vol-%	wet	0.0040	488.89	ppm	dry	0.0026	  1.81	ppm	dry	0.0022	  0.24	ppm	dry	0.0023	OK
0	2019-06-03	10:33:12		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.41	vol-%	wet	0.0040	489.84	ppm	dry	0.0025	  1.88	ppm	dry	0.0022	  0.25	ppm	dry	0.0024	OK
0	2019-06-03	10:33:18		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.42	vol-%	wet	0.0039	491.44	ppm	dry	0.0026	  1.85	ppm	dry	0.0023	  0.24	ppm	dry	0.0023	OK
0	2019-06-03	10:33:24		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.43	vol-%	wet	0.0041	495.16	ppm	dry	0.0026	  1.93	ppm	dry	0.0022	  0.23	ppm	dry	0.0024	OK
0	2019-06-03	10:33:30		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.42	vol-%	wet	0.0041	496.20	ppm	dry	0.0025	  1.95	ppm	dry	0.0023	  0.24	ppm	dry	0.0023	OK
